platform,profile_id,profile_url,profile_handle,profile_name,biography,followers_total,following_total,friends_total,subscribers_total,posts_total,videos_total,likes_total,views_total,location,website_url,created_date,is_verified,is_private,is_business,is_professional,engagement_rate,source_file
facebook,4,https://www.facebook.com/zuck,zuck,Mark Zuckerberg,,,,,,,,,,"Palo Alto, California",,,,,,,,facebook_profile_20260721_164249.json
instagram,347696668,https://instagram.com/realdonaldtrump,realdonaldtrump,President Donald J. Trump,45th & 47th President of the United States,44120268,47,,,7964,,,,,https://www.whitehouse.gov/,,True,False,False,True,0.0032,instagram_profile_20260721_145356.json
instagram,314216,https://www.instagram.com/zuck,zuck,Mark Zuckerberg,I build stuff,16941165,620,,,436,,,,,,,True,False,False,True,0.0155,instagram_profile_20260723_112444.json
instagram,17841401460045432,https://instagram.com/realdonaldtrump,realdonaldtrump,President Donald J. Trump,45th & 47th President of the United States,44120735,47,,,0,,,,,,,True,False,False,,,instagram_profile_20260723_225839_135036.json
instagram,17841401746480004,https://instagram.com/zuck,zuck,Mark Zuckerberg,I build stuff,16939363,620,,,0,,,,,,,True,False,False,,,instagram_profile_20260723_225839_135036.json
instagram,144605776,https://www.instagram.com/harrystyles,harrystyles,,,45813110,408,,,760,,,,,http://hstyles.co.uk/,,True,False,False,False,0.0379,instagram_profile_20260723_230622_621841.json
instagram,11830955,https://www.instagram.com/taylorswift,taylorswift,Taylor Swift,"Original song ""I Knew It, I Knew You,"" for Toy Story 5, out now! ☁️",273667082,0,,,708,,,,,https://taylor.lnk.to/TSIKnewItIKnewYou,,True,False,False,True,0.0139,instagram_profile_20260723_230622_621841.json
tiktok,7372700493900645422,https://www.tiktok.com/@realdonaldtrump,realdonaldtrump,President Donald J Trump,45th & 47th President of the United States,16700000,2,,,,79,122400000,,,https://swampthevoteusa.com/,2024-05-24 23:08:14+00:00,True,False,False,,0.016935752245508983,tiktok_profile_20260721_151555.json
youtube,UCYxRlFDqcWM4y7FfpiAN3KQ,https://www.youtube.com/user/whitehouse,@WhiteHouse,The White House,Official White House YouTube channel.,,,,3130000,,2065,,226786920,United States,whitehouse.gov,2006-01-21 00:00:00+00:00,,,,,,youtube_channel_20260723_112427.json
